X,Y,NAME,POP_EST
-77.318810466,18.1552263884,Jamaica,2825928
-2.1274308145,49.2210642111,Jersey,91626
36.7709225316,31.2455748634,Jordan,6342948
137.9783476099,37.5511773936,Japan,127078679
63.3838970031,45.9783301382,Baikonur,70000
77.1799527987,35.3910819813,Siachen Glacier,6000
67.2959646682,48.1606518196,Kazakhstan,15399437
37.822439919,0.5507660694,Kenya,39002772
74.5416694574,41.4619186586,Kyrgyzstan,5431747
104.9028042674,12.7155624837,Cambodia,14494293
-51.5248339677,0.615200874,Kiribati,112850
-62.6985454462,17.2710422526,St. Kitts and Nevis,40131
127.8190939575,36.3733535127,Korea,48508972
20.8737429775,42.5728833561,Kosovo,1804838
47.594623619,29.3400422058,Kuwait,2691158
103.7378720503,18.5023015579,Lao PDR,6834942
35.8799363762,33.9203588659,Lebanon,4017095
-9.3198639933,6.4522325546,Liberia,3441790
18.0096051211,27.0302779757,Libya,6310434
-60.9703165311,13.9026705468,Saint Lucia,160267
9.5409002886,47.1382064295,Liechtenstein,34761
80.7031628582,7.6159146067,Sri Lanka,21324791
28.228622925,-29.5797304442,Lesotho,2130819
23.8882488631,55.3270236132,Lithuania,3555179
6.0717639673,49.7668242758,Luxembourg,491775
24.9086223178,56.8518194574,Latvia,2231503
113.5501967889,22.1577852646,Macao,559846
-63.0550714923,18.0776202983,St-Martin,36661
-8.3964350409,29.8416921581,Morocco,34859364
7.3989743248,43.7398461874,Monaco,32965
28.4613971164,47.1951013919,Moldova,4320748
46.7059983133,-19.37316753,Madagascar,20653556
73.3022581732,3.8277948076,Maldives,396334
-102.5303078555,23.9491712105,Mexico,111211789
170.0995278121,7.1144653355,Marshall Is.,64522
21.6838304104,41.5950048691,Macedonia,2066718
-3.539079383,17.3441627791,Mali,12666987
14.4037540314,35.921026987,Malta,405165
96.4892894763,21.1676699887,Myanmar,48137741
19.2385000273,42.7858180455,Montenegro,672180
103.0562866621,46.8258060661,Mongolia,3041142
145.5999550057,16.2508597624,N. Mariana Is.,88662
35.5381055325,-17.2700100269,Mozambique,21669278
-10.3433978522,20.2562181281,Mauritania,3129486
-62.187398783,16.7375235651,Montserrat,5097
57.8497001648,-20.1855438697,Mauritius,1284264
34.2899078034,-13.2172258647,Malawi,14268711
109.6988686366,3.7923927886,Malaysia,25715819
17.2111331974,-22.1292466387,Namibia,2108665
165.7026547485,-21.3043401453,New Caledonia,227436
9.3860339967,17.418463771,Niger,15306252
167.9551693325,-29.0349751033,Norfolk Island,2141
8.0912392715,9.5953148237,Nigeria,149229090
-85.0333384199,12.8453926014,Nicaragua,5891199
-169.8693460421,-19.048919756,Niue,1398
5.2168142548,52.0697916716,Netherlands,16715999
15.4095991559,68.7942729201,Norway,4676305
83.9162532717,28.2479222076,Nepal,28563377
166.9331319293,-0.5207828848,Nauru,14019
171.4706859591,-41.8295221976,New Zealand,4213418
56.092656636,20.6018057188,Oman,3418085
69.341343274,29.9484969425,Pakistan,176242949
-80.1212949297,8.5145569459,Panama,3360474
-128.4792670607,-24.412769984,Pitcairn Is.,48
-74.3780645707,-9.1543884831,Peru,29546963
114.9270399338,10.5450203147,Spratly Is.,100
122.8744842572,11.7630150663,Philippines,97976603
134.3480333384,7.197635974,Palau,20796
145.2315238071,-6.4701204993,Papua New Guinea,6057263
19.3943222481,52.1247718281,Poland,38482919
-66.4676002928,18.2238164654,Puerto Rico,3971020
127.1837777927,40.1506427266,Dem. Rep. Korea,22665345
-8.590837589,39.5871468639,Portugal,10707924
