date	close
27-Apr-12	603.00
29-Nov-11	373.20
18-Oct-11	422.24
30-Aug-11	389.99
1-Jun-11	345.51
17-Mar-11	334.64
18-Oct-10	318.00
10-Mar-10	224.84
17-Aug-09	159.59
1-Dec-08	88.93
14-Apr-08	147.78
9-May-07	106.88
